-3.639,0.418,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814
-3.327,0.496,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488
-2.12,0.894,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049
-2.287,1.809,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795
-2.598,1.938,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396
-2.852,1.914,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365
-3.482,2.524,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366
-3.941,2.305,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301
-3.86,2.116,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434
-3.648,1.812,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836
-3.032,1.739,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018
-3.653,0.373,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813
-3.237,0.436,-0.86,1.363,-0.251,1.915,-0.395,0.751,-0.774,-0.327
-2.135,0.954,-1.632,0.121,-0.704,1.6,-0.628,0.713,-0.903,-0.027
-2.304,1.784,-1.506,0.981,-0.961,0.806,-0.294,-0.002,0.119,-0.76
-2.54,2.144,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633
-2.826,2.003,-0.738,0.801,-1.669,0.939,0.245,-0.257,0.256,-0.458
-3.582,2.374,-0.358,1.162,-1.953,0.621,0.339,0.355,0.415,-0.259
-3.951,2.25,0.127,1.772,-1.906,0.567,-0.432,1.045,0.598,-0.293
-3.783,1.974,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58
-3.673,1.811,-1.405,1.621,0.044,1.572,-0.453,0.745,-0.066,-0.733
-2.946,1.649,-1.167,0.788,-0.909,1.3,-0.562,0.902,-0.07
-3.665,0.337,-0.641,1.791,-0.194,1.686,-0.359,0.57,-0.676,-0.841
-3.165,0.408,-0.971,1.207,-0.298,1.921,-0.215,0.723,-0.492,-0.425
-2.105,1.035,-1.705,0.231,-0.558,1.554,-0.649,0.71,-0.855,-0.151
-2.312,1.746,-1.51,1.019,-0.99,0.941,-0.488,0.208,0.033,-0.847
-2.635,2.147,-1.129,0.911,-1.407,1.095,-0.071,0.118,0.139,-0.685
-2.887,2.131,-0.83,0.682,-1.557,0.818,0.448,-0.382,0.207,-0.402
-3.635,2.25,-0.394,1.012,-1.693,0.117,0.665,0.281,0.343,-0.003
-3.986,2.325,0.102,1.633,-2.014,0.576,-0.344,1.003,0.566,-0.245
-3.712,1.816,-1.171,0.647,-0.767,1.698,-0.347,0.92,0.159,-0.359
-3.74,1.832,-1.384,1.587,0.049,1.642,-0.516,0.707,-0.169,-0.522
-2.859,1.627,-1.14,0.769,-0.948,1.39,-0.608,0.956,-0.204
-3.624,0.305,-0.708,1.758,-0.194,1.675,-0.273,0.561,-0.577,-0.843
-3.062,0.351,-1.071,1.061,-0.355,1.99,-0.21,0.796,-0.358,-0.299
-2.081,1.05,-1.778,0.411,-0.518,1.46,-0.576,0.735,-0.866,-0.172
-2.289,1.845,-1.616,0.987,-0.876,1.044,-0.549,0.196,-0.07,-0.814
-2.724,2.067,-1.142,0.923,-1.157,1.17,-0.276,0.172,-0.008,-0.649
-3.015,2.232,-0.899,0.574,-1.331,0.546,0.61,-0.452,0.035,-0.156
-3.559,2.126,-0.445,1.053,-1.765,0.349,0.546,0.321,0.443,-0.118
-4.074,2.281,0.152,1.556,-1.613,-0.047,0.222,0.252,0.775,0.125
-3.618,1.576,-1.14,0.699,-0.741,1.633,-0.387,1.086,0.235,-0.388
-3.687,1.784,-1.593,1.603,0.123,1.424,-0.225,0.441,0.206,-0.714
-2.69,1.652,-1.261,0.674,-0.964,1.449,-0.593,1.005,-0.303
-3.593,0.29,-0.782,1.707,-0.175,1.662,-0.137,0.493,-0.492,-0.926
